,full_img_path,tube_line,points_lst,cot_stage,comments,tag_time,file_name,directory_name
0,C:\Sunflowers\manual_tagging-master\first_last_imgs\200827_contin_low_R\7284_CROPED_1.jpg,"[(113, 348), (423, 351)]","[(281, 331), (284, 312), (287, 296), (286, 282)]",Hook,,1608735064,7284_CROPED_1.jpg,200827_contin_low_R
1,C:\Sunflowers\manual_tagging-master\first_last_imgs\200827_contin_low_R\7284_CROPED_2.jpg,"[(36, 437), (325, 430)]","[(162, 420), (155, 389), (144, 365), (128, 325), (138, 299), (162, 275)]",Closed,,1608735079,7284_CROPED_2.jpg,200827_contin_low_R
2,C:\Sunflowers\manual_tagging-master\first_last_imgs\200827_contin_low_R\7284_CROPED_3.jpg,"[(112, 489), (432, 494)]","[(225, 488), (225, 462), (221, 435), (221, 406), (224, 377)]",Closed,,1608735161,7284_CROPED_3.jpg,200827_contin_low_R
3,C:\Sunflowers\manual_tagging-master\first_last_imgs\200827_contin_low_R\7284_CROPED_4.jpg,"[(84, 499), (446, 494)]","[(321, 493), (318, 457), (323, 434), (330, 403), (332, 381)]",Open,,1608735171,7284_CROPED_4.jpg,200827_contin_low_R
4,C:\Sunflowers\manual_tagging-master\first_last_imgs\200827_contin_low_R\7284_CROPED_5.jpg,"[(50, 361), (396, 365)]","[(261, 346), (265, 321), (265, 301), (265, 284)]",Open,,1608735181,7284_CROPED_5.jpg,200827_contin_low_R
5,C:\Sunflowers\manual_tagging-master\first_last_imgs\200827_contin_low_R\7673_CROPED_1.jpg,"[(115, 354), (421, 352)]","[(307, 335), (323, 308), (336, 286), (354, 265), (369, 243), (393, 221)]",Closed,,1608735214,7673_CROPED_1.jpg,200827_contin_low_R
6,C:\Sunflowers\manual_tagging-master\first_last_imgs\200827_contin_low_R\7673_CROPED_2.jpg,"[(73, 437), (361, 438)]","[(203, 417), (217, 379), (231, 346), (245, 323), (267, 290), (275, 257), (283, 220), (284, 204)]",Closed,,1608735238,7673_CROPED_2.jpg,200827_contin_low_R
7,C:\Sunflowers\manual_tagging-master\first_last_imgs\200827_contin_low_R\7673_CROPED_3.jpg,"[(114, 495), (433, 496)]","[(237, 490), (240, 459), (252, 425), (262, 391), (275, 368), (289, 340), (310, 316), (321, 304)]",Closed,,1608735258,7673_CROPED_3.jpg,200827_contin_low_R
8,C:\Sunflowers\manual_tagging-master\first_last_imgs\200827_contin_low_R\7673_CROPED_4.jpg,"[(77, 496), (442, 489)]","[(319, 494), (316, 466), (314, 447), (318, 427), (324, 406)]",Open,,1608735269,7673_CROPED_4.jpg,200827_contin_low_R
9,C:\Sunflowers\manual_tagging-master\first_last_imgs\200827_contin_low_R\7673_CROPED_5.jpg,"[(51, 365), (393, 373)]","[(277, 343), (276, 323), (279, 302), (283, 292), (291, 275)]",Open,,1608735279,7673_CROPED_5.jpg,200827_contin_low_R
