,full_img_path,tube_line,points_lst,cot_stage,comments,tag_time,file_name,directory_name
0,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0016_CROPED_1.jpg,"[(61, 279), (413, 282)]","[(237, 275), (236, 264), (232, 248), (231, 229), (233, 215), (235, 201), (235, 186), (235, 172)]",Hook,,1602517302,0016_CROPED_1.jpg,200616_contin_L
1,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0016_CROPED_2.jpg,"[(121, 435), (485, 415)]","[(318, 416), (314, 400), (310, 382), (305, 365), (299, 347), (292, 328), (288, 308), (282, 284), (276, 261), (269, 234), (263, 215), (258, 192), (251, 175), (248, 159)]",Open,"tube isnt straight, leaves arent showing",1602517449,0016_CROPED_2.jpg,200616_contin_L
2,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0016_CROPED_3.jpg,"[(293, 422), (613, 418)]","[(343, 413), (338, 402), (334, 384), (331, 374), (329, 356), (326, 342), (326, 331), (324, 315), (324, 296), (321, 283), (319, 264), (315, 249), (311, 235)]",Open,,1602517484,0016_CROPED_3.jpg,200616_contin_L
3,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0016_CROPED_4.jpg,"[(123, 336), (414, 334)]","[(254, 330), (254, 320), (256, 307), (257, 291), (260, 271), (263, 256), (263, 244), (266, 230), (270, 213), (272, 201), (272, 189)]",Closed,,1602517588,0016_CROPED_4.jpg,200616_contin_L
4,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0016_CROPED_5.jpg,"[(273, 588), (573, 569)]","[(402, 559), (399, 536), (393, 512), (385, 484), (384, 460), (375, 426), (369, 409), (362, 382), (350, 363), (347, 342)]",Open,blurry,1602517629,0016_CROPED_5.jpg,200616_contin_L
5,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0348_CROPED_1.jpg,"[(62, 280), (413, 285)]","[(203, 273), (199, 264), (193, 256), (186, 248), (179, 238), (174, 227), (165, 219), (157, 210), (145, 200), (136, 192), (128, 184), (117, 175), (106, 167)]",Closed,,1602517711,0348_CROPED_1.jpg,200616_contin_L
6,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0016_CROPED_1.jpg,"[(61, 281), (413, 285)]","[(238, 275), (238, 264), (236, 251), (235, 239), (233, 224), (235, 212), (235, 198), (235, 185), (233, 175)]",,,1602517854,0016_CROPED_1.jpg,200616_contin_L
7,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0016_CROPED_2.jpg,"[(121, 434), (482, 412)]","[(320, 416), (316, 401), (309, 385), (306, 364), (298, 342), (291, 314), (286, 291), (279, 269), (273, 247), (268, 222), (265, 203), (260, 183)]",,,1602517882,0016_CROPED_2.jpg,200616_contin_L
8,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0016_CROPED_3.jpg,"[(293, 424), (613, 420)]","[(348, 419), (346, 404), (338, 383), (333, 366), (330, 346), (326, 324), (327, 303), (325, 281), (321, 262), (321, 239)]",,,1602517948,0016_CROPED_3.jpg,200616_contin_L
9,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0016_CROPED_4.jpg,"[(120, 338), (412, 334)]","[(254, 330), (255, 318), (257, 303), (258, 290), (260, 273), (263, 259), (265, 243), (265, 226), (266, 214), (266, 200)]",,,1602518074,0016_CROPED_4.jpg,200616_contin_L
10,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0016_CROPED_5.jpg,"[(275, 582), (571, 571)]","[(403, 561), (399, 542), (393, 520), (390, 498), (389, 475), (386, 451), (378, 427), (366, 399), (356, 367), (345, 347)]",,,1602518102,0016_CROPED_5.jpg,200616_contin_L
11,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0348_CROPED_1.jpg,"[(60, 280), (414, 284)]","[(206, 276), (201, 263), (193, 248), (181, 234), (169, 221), (154, 204), (142, 190), (128, 179), (114, 170), (108, 166)]",,,1602518136,0348_CROPED_1.jpg,200616_contin_L
12,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0348_CROPED_2.jpg,"[(121, 434), (484, 414)]","[(304, 412), (299, 394), (292, 374), (281, 354), (270, 335), (259, 314), (248, 291), (233, 274), (218, 257), (203, 238), (191, 221), (177, 211), (161, 191), (148, 180), (138, 170), (125, 157)]",Closed,not sure about the leaves,1602518314,0348_CROPED_2.jpg,200616_contin_L
13,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0348_CROPED_3.jpg,"[(296, 421), (612, 416)]","[(319, 411), (308, 401), (295, 386), (279, 365), (259, 344), (241, 317), (226, 301), (210, 280), (193, 265), (173, 243), (154, 219), (139, 205), (124, 191)]",Open,,1602518344,0348_CROPED_3.jpg,200616_contin_L
14,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0348_CROPED_4.jpg,"[(119, 343), (413, 341)]","[(233, 334), (231, 319), (227, 306), (222, 291), (215, 275), (210, 254), (201, 234), (191, 216), (180, 198), (170, 184), (156, 162), (141, 146)]",Closed,,1602518394,0348_CROPED_4.jpg,200616_contin_L
15,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_L\0348_CROPED_5.jpg,"[(272, 581), (572, 565)]","[(390, 559), (377, 521), (361, 475), (334, 424), (311, 392), (290, 366), (275, 339), (254, 306), (234, 284), (213, 260), (192, 234), (169, 214), (157, 201)]",,,1602518494,0348_CROPED_5.jpg,200616_contin_L
16,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_R\2665_CROPED_1.jpg,"[(86, 319), (379, 310)]","[(232, 310), (231, 299), (231, 286), (229, 274), (229, 257), (232, 240), (233, 222), (232, 208)]",Open,,1602518638,2665_CROPED_1.jpg,200616_contin_R
17,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_R\2665_CROPED_2.jpg,"[(95, 444), (368, 443)]","[(274, 441), (274, 430), (273, 419), (275, 402), (274, 385), (273, 371)]",Open,cant see the tube,1602518675,2665_CROPED_2.jpg,200616_contin_R
18,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_R\2665_CROPED_3.jpg,"[(26, 417), (330, 404)]","[(189, 406), (189, 376), (191, 349), (194, 327), (197, 300), (201, 279)]",Open,,1602518696,2665_CROPED_3.jpg,200616_contin_R
19,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_R\2665_CROPED_4.jpg,"[(-1, -1), (-1, -1)]","[(218, 550), (209, 525), (200, 495), (191, 457), (180, 413), (161, 362), (144, 307), (133, 272), (120, 242)]",,cant see the tube,1602518735,2665_CROPED_4.jpg,200616_contin_R
20,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_R\2665_CROPED_5.jpg,"[(164, 610), (490, 610)]","[(372, 605), (366, 573), (361, 537), (359, 517), (356, 481), (354, 439), (352, 394), (350, 347), (350, 316), (354, 286), (354, 253)]",Open,,1602518765,2665_CROPED_5.jpg,200616_contin_R
21,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_R\2997_CROPED_1.jpg,"[(86, 317), (378, 309)]","[(273, 306), (286, 289), (297, 271), (312, 249), (325, 231), (338, 214), (357, 197)]",Open,weird,1602518793,2997_CROPED_1.jpg,200616_contin_R
22,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_R\2997_CROPED_2.jpg,"[(100, 443), (369, 443)]","[(314, 437), (320, 420), (329, 405), (333, 385), (340, 363), (350, 348)]",Open,,1602518816,2997_CROPED_2.jpg,200616_contin_R
23,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_R\2997_CROPED_3.jpg,"[(26, 420), (330, 408)]","[(203, 408), (209, 376), (221, 353), (236, 318), (250, 299), (263, 275)]",Open,,1602518879,2997_CROPED_3.jpg,200616_contin_R
24,C:\Sunflowers\manual_tagging-master\first_last_imgs\200616_contin_R\2997_CROPED_4.jpg,"[(123, 553), (400, 552)]","[(241, 547), (244, 518), (252, 476), (260, 427), (272, 378), (283, 343), (296, 303), (313, 266), (328, 234), (345, 206), (366, 182)]",,tube isnt showing,1602518914,2997_CROPED_4.jpg,200616_contin_R
